,net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc,Year
0,Endinet,871688700000002681,Buizerd,5508KC,5508KC,VELDHOVEN,14.0,100.0,100.0,64,1x35,3346,0.0,0.0,2016.0
1,Endinet,871688700000002681,Hertgang,5508LC,5508LR,VELDHOVEN,43.0,100.0,100.0,93,1x35,2838,2.0,0.0,2016.0
2,Endinet,871688700000002681,Strijpsebaan,5508RA,5508RB,VELDHOVEN,36.0,92.0,100.0,72,3x25,5607,19.0,14.0,2016.0
3,Endinet,871688700000002681,Blauwven,5508RC,5508RC,VELDHOVEN,52.0,98.0,100.0,52,1x35,3977,8.0,4.0,2016.0
4,Endinet,871688700000002681,Blauwven,5508RD,5508RD,VELDHOVEN,39.0,100.0,97.0,67,1x35,3910,8.0,3.0,2016.0
5,Endinet,871688700000002681,Boomven,5508RE,5508RG,VELDHOVEN,17.0,76.0,100.0,94,3x25,6094,35.0,29.0,2016.0
6,Endinet,871688700000002681,Hoefven,5508RH,5508RJ,VELDHOVEN,20.0,80.0,100.0,90,3x25,5719,30.0,25.0,2016.0
7,Endinet,871688700000002681,Regenboogven,5508RK,5508RK,VELDHOVEN,64.0,98.0,100.0,84,1x35,3405,6.0,5.0,2016.0
8,Endinet,871688700000002681,Turfven,5508RL,5508RM,VELDHOVEN,36.0,83.0,100.0,81,3x25,5443,19.0,17.0,2016.0
9,Endinet,871688700000002681,Zandven,5508RN,5508RP,VELDHOVEN,30.0,97.0,100.0,70,3x25,5693,17.0,13.0,2016.0
10,Endinet,871688700000002681,Libel,5508SB,5508SB,VELDHOVEN,44.0,100.0,100.0,75,1x35,3633,0.0,0.0,2016.0
11,Endinet,871688700000002681,Libel,5508SC,5508SC,VELDHOVEN,15.0,93.0,100.0,53,3x25,3341,13.0,7.0,2016.0
12,Endinet,871688700000002681,Vlinder,5508SE,5508SE,VELDHOVEN,19.0,100.0,100.0,63,1x35,3243,11.0,5.0,2016.0
13,Endinet,871688700000002681,Eekhoorn,5508SG,5508SG,VELDHOVEN,27.0,100.0,100.0,96,1x35,1837,0.0,0.0,2016.0
14,Endinet,871688700000002681,Ree,5508SJ,5508SJ,VELDHOVEN,22.0,100.0,100.0,77,1x35,2454,5.0,5.0,2016.0
