,net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc,Year
0,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Dorpsstraat,7468CP,7471AA,ENTER,19,89.47,94.74,89,1x35,4122,89.47,0.0,2015
1,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,De Stoevelaar,7471AB,7471AB,GOOR,37,100.0,100.0,86,1x35,1800,94.59,0.0,2015
2,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,De Stoevelaar,7471AC,7471AC,GOOR,16,100.0,100.0,100,1x35,1315,100.0,0.0,2015
3,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,De Stoevelaar,7471AD,7471AE,GOOR,25,92.0,84.0,44,1x35,6379,92.0,0.0,2015
4,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AG,7471AG,GOOR,14,85.71,100.0,36,1x35,4404,92.86,0.0,2015
5,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AH,7471AH,GOOR,19,84.21,100.0,53,1x35,5478,100.0,0.0,2015
6,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AJ,7471AJ,GOOR,11,90.91,100.0,64,3x25,3096,100.0,0.0,2015
7,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AK,7471AK,GOOR,20,95.0,85.0,35,1x25,7193,95.0,0.0,2015
8,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AL,7471AL,GOOR,12,100.0,100.0,67,1x35,4962,100.0,0.0,2015
9,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AM,7471AN,GOOR,17,100.0,94.12,47,3x25,7473,100.0,0.0,2015
10,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Stationslaan,7471AP,7471AP,GOOR,19,94.74,100.0,53,1x35,9036,100.0,0.0,2015
11,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Waterstraat,7471AR,7471AR,GOOR,67,97.01,100.0,93,1x35,3064,100.0,0.0,2015
12,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Zonnebloemstraat,7471AS,7471AS,GOOR,29,96.55,100.0,55,1x35,3305,93.1,0.0,2015
13,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Irisstraat,7471AT,7471AT,GOOR,19,100.0,100.0,53,1x35,3043,94.74,0.0,2015
14,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Zonnebloemstraat,7471AV,7471AV,GOOR,21,100.0,100.0,95,1x35,3186,100.0,0.0,2015
15,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Irisstraat,7471AW,7471AW,GOOR,19,68.42,100.0,53,1x35,3555,94.74,0.0,2015
16,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,De Braak,7471AX,7471AZ,GOOR,19,89.47,100.0,58,3x25,10195,100.0,0.0,2015
17,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Kloosterlaan,7471BA,7471BA,GOOR,34,85.29,100.0,44,1x35,3974,100.0,0.0,2015
18,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Kloosterlaan,7471BB,7471BB,GOOR,23,91.3,100.0,48,1x35,3055,100.0,0.0,2015
19,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Kloosterlaan,7471BC,7471BC,GOOR,20,90.0,100.0,40,1x35,5240,100.0,0.0,2015
20,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Buitenhagen,7471BD,7471BD,GOOR,38,89.47,100.0,79,3x25,4949,97.37,0.0,2015
21,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Iependijk,7471BE,7471BE,GOOR,24,95.83,100.0,46,1x35,5457,100.0,0.0,2015
22,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Iependijk,7471BG,7471BH,GOOR,27,88.89,100.0,63,1x35,5658,100.0,0.0,2015
23,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Iependijk,7471BJ,7471BJ,GOOR,22,95.45,100.0,59,1x35,5321,100.0,0.0,2015
24,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Grotestraat,7471BK,7471BK,GOOR,24,95.83,100.0,46,1x35,6950,100.0,0.0,2015
25,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Grotestraat,7471BL,7471BL,GOOR,29,100.0,100.0,45,3x25,11797,93.1,0.0,2015
26,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Grotestraat,7471BM,7471BM,GOOR,18,94.44,88.89,50,1x35,9733,83.33,0.0,2015
27,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Grotestraat,7471BN,7471BN,GOOR,34,100.0,97.06,56,1x35,6154,94.12,2.94,2015
28,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Grotestraat,7471BP,7471BP,GOOR,12,83.33,100.0,50,3x25,10185,100.0,0.0,2015
29,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Grotestraat,7471BR,7471BR,GOOR,24,100.0,100.0,46,3x25,19597,100.0,0.0,2015
30,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Grotestraat,7471BS,7471BS,GOOR,18,88.89,88.89,44,3x25,10469,94.44,0.0,2015
31,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Possestraat,7471BT,7471BV,GOOR,21,100.0,100.0,43,1x35,3565,95.24,0.0,2015
32,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Spoorstraat,7471BW,7471BW,GOOR,31,93.55,100.0,58,1x35,4785,100.0,0.0,2015
33,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Voorstraat,7471BX,7471BZ,GOOR,24,95.83,100.0,75,1x35,7868,100.0,0.0,2015
34,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Wijnkamp,7471CA,7471CA,GOOR,15,100.0,100.0,33,1x35,8266,100.0,0.0,2015
35,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Wijnkamp,7471CB,7471CB,GOOR,11,100.0,100.0,64,1x35,3974,72.73,0.0,2015
36,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Wijnkamp,7471CC,7471CC,GOOR,12,100.0,100.0,42,3x25,6887,91.67,0.0,2015
37,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Wijnkamp,7471CD,7471CE,GOOR,19,94.74,84.21,42,1x35,3545,94.74,0.0,2015
38,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Hengevelderstraat,7471CG,7471CH,GOOR,23,95.65,100.0,39,1x35,9299,100.0,0.0,2015
39,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Molenstraat,7471CJ,7471CJ,GOOR,23,100.0,100.0,43,1x25,3253,100.0,0.0,2015
40,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Molenstraat,7471CK,7471CK,GOOR,11,81.82,100.0,45,1x35,3757,100.0,0.0,2015
41,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Molenstraat,7471CL,7471CL,GOOR,21,95.24,100.0,67,3x25,3175,100.0,0.0,2015
42,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Molenstraat,7471CM,7471CM,GOOR,15,86.67,100.0,60,1x35,3347,100.0,0.0,2015
43,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Korte Dijk,7471CN,7471CN,GOOR,19,84.21,100.0,63,1x35,4742,100.0,0.0,2015
44,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Middenstraat,7471CP,7471CR,GOOR,48,95.83,97.92,63,1x35,2091,87.5,0.0,2015
45,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Bleekstraat,7471CS,7471CS,GOOR,11,100.0,100.0,45,1x25,4283,100.0,0.0,2015
46,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Pastoriestraat,7471CT,7471CT,GOOR,25,100.0,100.0,56,1x35,2255,96.0,0.0,2015
47,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Javastraat,7471CV,7471CV,GOOR,26,88.46,100.0,100,1x35,1998,100.0,0.0,2015
48,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,De Hogenkamp,7471CW,7471CW,GOOR,11,81.82,100.0,73,1x35,4435,100.0,0.0,2015
49,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,D.J. Bunschotenstraat,7471CX,7471CX,GOOR,22,100.0,100.0,77,1x35,2386,100.0,0.0,2015
50,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,D.J. Bunschotenstraat,7471CZ,7471DA,GOOR,19,94.74,100.0,47,1x35,3570,89.47,0.0,2015
51,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Laarstraat,7471DB,7471DB,GOOR,23,95.65,100.0,87,1x35,3289,95.65,0.0,2015
52,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Laarstraat,7471DC,7471DD,GOOR,22,81.82,100.0,36,1x35,4590,95.45,0.0,2015
53,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Laarstraat,7471DE,7471DE,GOOR,12,91.67,100.0,75,1x35,2724,91.67,0.0,2015
54,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Laarstraat,7471DG,7471DG,GOOR,18,88.89,100.0,72,1x35,3662,100.0,0.0,2015
55,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Laarstraat,7471DH,7471DJ,GOOR,21,95.24,100.0,48,1x35,3111,95.24,0.0,2015
56,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Herman Heijermansstraat,7471DK,7471DK,GOOR,15,100.0,100.0,60,1x35,1920,93.33,0.0,2015
57,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Herman Heijermansstraat,7471DL,7471DL,GOOR,38,92.11,100.0,76,1x35,4622,100.0,0.0,2015
58,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Herman Heijermansstraat,7471DM,7471DM,GOOR,22,100.0,100.0,50,1x35,2274,95.45,0.0,2015
59,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Goeman Borgesiusstraat,7471DN,7471DN,GOOR,16,100.0,100.0,69,1x25,2220,100.0,0.0,2015
60,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,van Kollaan,7471DP,7471DP,GOOR,23,91.3,100.0,78,1x35,2872,95.65,0.0,2015
61,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,van Kollaan,7471DR,7471DR,GOOR,21,95.24,100.0,48,1x25,3037,90.48,0.0,2015
62,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,van Kollaan,7471DS,7471DS,GOOR,54,100.0,100.0,93,1x35,2175,100.0,0.0,2015
63,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Roerdompstraat,7471DT,7471DT,GOOR,16,93.75,100.0,75,1x25,2563,100.0,0.0,2015
64,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Roerdompstraat,7471DV,7471DX,GOOR,23,95.65,100.0,57,1x25,4112,95.65,0.0,2015
65,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Reigerstraat,7471DZ,7471DZ,GOOR,22,81.82,100.0,77,1x25,2044,100.0,0.0,2015
66,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Kwartelstraat,7471EA,7471EA,GOOR,26,100.0,100.0,58,1x25,2567,100.0,0.0,2015
67,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Kwartelstraat,7471EB,7471EB,GOOR,27,100.0,100.0,52,1x25,1771,100.0,0.0,2015
68,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Guido Gezellehof,7471EC,7471ED,GOOR,23,78.26,100.0,57,1x25,2347,91.3,0.0,2015
69,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Nachtegaalstraat,7471EE,7471EE,GOOR,22,95.45,100.0,50,1x35,3248,100.0,0.0,2015
70,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Nachtegaalstraat,7471EG,7471EG,GOOR,10,100.0,100.0,50,1x25,1994,90.0,0.0,2015
71,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Putterstraat,7471EH,7471EH,GOOR,17,88.24,100.0,47,1x25,2351,100.0,0.0,2015
72,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Putterstraat,7471EJ,7471EJ,GOOR,19,94.74,100.0,58,1x25,2456,100.0,0.0,2015
73,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Kievitstraat,7471EK,7471EK,GOOR,18,100.0,100.0,61,1x35,2801,94.44,0.0,2015
74,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Kievitstraat,7471EL,7471EL,GOOR,14,100.0,100.0,57,1x35,6010,100.0,0.0,2015
75,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Kievitstraat,7471EM,7471EM,GOOR,16,100.0,100.0,75,1x25,2401,100.0,0.0,2015
76,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Kievitstraat,7471EN,7471EN,GOOR,16,100.0,100.0,56,1x35,2180,93.75,0.0,2015
77,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Gruttostraat,7471EP,7471EP,GOOR,17,100.0,100.0,47,1x25,9367,100.0,0.0,2015
78,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Gruttostraat,7471ER,7471ER,GOOR,13,84.62,84.62,23,3x63,11646,76.92,0.0,2015
79,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Gruttostraat,7471ES,7471ES,GOOR,20,85.0,100.0,80,1x35,3139,95.0,0.0,2015
80,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Holtdijk,7471ET,7471EV,GOOR,18,88.89,88.89,39,3x25,13104,88.89,0.0,2015
81,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Wheeweg,7471EW,7471EW,GOOR,15,100.0,100.0,33,3x50,24461,86.67,0.0,2015
82,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Lijsterstraat,7471EX,7471EX,GOOR,14,100.0,100.0,57,1x25,2779,100.0,0.0,2015
83,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Lijsterstraat,7471EZ,7471EZ,GOOR,12,91.67,100.0,58,1x25,3347,100.0,0.0,2015
84,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Merelstraat,7471GA,7471GA,GOOR,20,95.0,100.0,65,1x25,2549,100.0,0.0,2015
85,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Merelstraat,7471GB,7471GB,GOOR,20,100.0,100.0,60,1x25,3014,100.0,0.0,2015
86,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Merelstraat,7471GC,7471GC,GOOR,20,100.0,95.0,65,1x25,2294,95.0,0.0,2015
87,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Wulpstraat,7471GD,7471GD,GOOR,22,100.0,100.0,59,1x35,2506,100.0,0.0,2015
88,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Sperwerstraat,7471GE,7471GE,GOOR,15,93.33,100.0,60,1x35,3802,100.0,0.0,2015
89,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Wheedwarsweg,7471GG,7471GK,GOOR,42,97.62,90.48,31,3x25,11534,88.1,0.0,2015
90,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Fazantenstraat,7471GL,7471GM,GOOR,18,77.78,100.0,56,3x25,3157,100.0,0.0,2015
91,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Scherpenzeelseweg,7471GN,7471GN,GOOR,13,100.0,100.0,46,1x35,3564,100.0,0.0,2015
92,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Scherpenzeelseweg,7471GP,7471GP,GOOR,11,100.0,100.0,36,3x25,3549,100.0,0.0,2015
93,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Scherpenzeelseweg,7471GR,7471GR,GOOR,15,93.33,100.0,47,1x35,2555,100.0,0.0,2015
94,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Scherpenzeelseweg,7471GS,7471GS,GOOR,21,66.67,100.0,38,1x25,2771,100.0,0.0,2015
